GeneSymbol	T15	T17	T18	T20	T3	T34	T39	T4	T40	T10	T11	T12	T27	T28	T30	T35	T36	T37	T38	T5	T6	T7	T8	T9
A1BG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARPC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARPC5	49.4653434410977	14.2233762412759	78.6775747034359	163.961183571549	107.728045837444	123.156107820088	33.4225601814804	191.380124796457	59.2757035101085	129.417812060844	26.6628506649607	82.8081858188194	25.997183656619	22.7387010422832	122.203621712194	29.9044965273524	44.5390481225203	59.187179090793	38.8328217895714	56.9530573934666	106.725900141544	108.16947454169	35.2722205501757	30.3369958514896
ARPC5L	98.1939162596888	26.1986757688457	100.129891792004	96.7132256289776	89.9380224035107	51.0008764967008	37.2250763822378	116.233569130637	41.2234817808279	91.5824025343353	103.249801691119	79.0044106746728	36.7573302540402	53.2160354721747	107.270207340728	32.8497553875809	33.1338671209718	45.0885941479642	32.2789765429317	65.1675463623495	65.6710995963022	64.202870192185	66.7205849600639	28.3369441331236
ARPP19	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952	81.1674384272952
ARPP21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARRB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARRB2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARRDC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARRDC2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARRDC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARRDC4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARRDC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARSA	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976	12.793929551976
ARSB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ARSD	11.2619352229609	3.90939222188585	21.2666644151959	6.73311435858252	9.21265159308514	5.13826849219127	6.35755068425162	24.9581862496273	5.52025165430458	20.1686762607415	23.5031022519177	7.80257650421709	10.4885843693683	36.1982111999501	24.7304715795121	5.37431189932974	5.76335105208545	28.1306510975947	5.53618814741464	29.0470182225137	15.1689970902841	13.215117878868	5.48918644915326	5.81191450077418
